Date,Adj Close,Close,High,Low,Open,Volume
02-01-2020,72.79600525,75.08750153,75.15000153,73.79750061,74.05999756,135480400
03-01-2020,72.08827209,74.35749817,75.14499664,74.125,74.28749847,146322800
06-01-2020,72.66271973,74.94999695,74.98999786,73.1875,73.44750214,118387200
07-01-2020,72.32097626,74.59750366,75.22499847,74.37000275,74.95999908,108872000
08-01-2020,73.48435974,75.79750061,76.11000061,74.29000092,74.29000092,132079200
09-01-2020,75.04523468,77.40750122,77.60749817,76.55000305,76.80999756,170108400
10-01-2020,75.21486664,77.58249664,78.16750336,77.0625,77.65000153,140644800
13-01-2020,76.82178497,79.23999786,79.26750183,77.78749847,77.91000366,121532000
14-01-2020,75.78443909,78.16999817,79.39250183,78.04250336,79.17500305,161954400
15-01-2020,75.45968628,77.83499908,78.875,77.38749695,77.96250153,121923600
16-01-2020,76.4048996,78.80999756,78.92500305,78.02249908,78.39749908,108829200
17-01-2020,77.2507782,79.68250275,79.68499756,78.75,79.06749725,137816400
21-01-2020,76.72725677,79.14250183,79.75499725,79,79.29750061,110843200
22-01-2020,77.00112915,79.42500305,79.99749756,79.32749939,79.64499664,101832400
23-01-2020,77.37198639,79.80750275,79.88999939,78.91249847,79.48000336,104472000
24-01-2020,77.14899445,79.57749939,80.83249664,79.37999725,80.0625,146537600
27-01-2020,74.88040924,77.23750305,77.94249725,76.22000122,77.51499939,161940000
28-01-2020,76.99873352,79.42250061,79.59999847,78.04750061,78.15000153,162234000
29-01-2020,78.61049652,81.08499908,81.96250153,80.34500122,81.11250305,216229200
30-01-2020,78.4965744,80.96749878,81.02249908,79.6875,80.13500214,126743200
31-01-2020,75.0161438,77.37750244,80.66999817,77.07250214,80.23249817,199588400
03-02-2020,74.81011963,77.16500092,78.37249756,75.55500031,76.07499695,173788400
04-02-2020,77.27986145,79.71250153,79.91000366,78.40750122,78.82749939,136616400
05-02-2020,77.91005707,80.36250305,81.19000244,79.73750305,80.87999725,118826800
06-02-2020,78.82135773,81.30249786,81.30500031,80.06500244,80.64250183,105425600
07-02-2020,77.74997711,80.00749969,80.84999847,79.5,80.59249878,117684000
10-02-2020,78.11923218,80.38749695,80.38749695,78.46250153,78.54499817,109348800
11-02-2020,77.64792633,79.90249634,80.97499847,79.67749786,80.90000153,94323200
12-02-2020,79.49188995,81.80000305,81.80500031,80.36750031,80.36750031,113730400
13-02-2020,78.9258194,81.21749878,81.55500031,80.83750153,81.04750061,94747600
14-02-2020,78.94524384,81.23750305,81.49500275,80.71250153,81.18499756,80113600
18-02-2020,77.49971008,79.75,79.9375,78.65249634,78.83999634,152531200
